
Data;Inflacja
2020-01-01;0.047
2020-02-01;0.046
2020-03-01;0.043
2020-04-01;0.034
2020-05-01;0.031
2020-06-01;0.033
2020-07-01;0.033
2020-08-01;0.029
2020-09-01;0.034
2020-10-01;0.035
2020-11-01;0.032
2020-12-01;0.028
2021-01-01;0.027
2021-02-01;0.027
2021-03-01;0.035
2021-04-01;0.047
2021-05-01;0.048
2021-06-01;0.049
2021-07-01;0.055
2021-08-01;0.056
2021-09-01;0.058
2021-10-01;0.061
2021-11-01;0.073
2021-12-01;0.086
2022-01-01;0.092
2022-02-01;0.085
2022-03-01;0.111
2022-04-01;0.123
2022-05-01;0.137
2022-06-01;0.152
2022-07-01;0.155
2022-08-01;0.162
2022-09-01;0.173
2022-10-01;0.178
2022-11-01;0.171
2022-12-01;0.164
2023-01-01;0.176
2023-02-01;0.188
2023-03-01;0.164
2023-04-01;0.144
2023-05-01;0.138
2023-06-01;0.115
2023-07-01;0.102
2023-08-01;0.103
2023-09-01;0.088
2023-10-01;0.066
2023-11-01;0.066
2023-12-01;0.068
2024-01-01;0.036
2024-02-01;0.022
2024-03-01;0.02
2024-04-01;0.029
2024-05-01;0.027
2024-06-01;0.024
2024-07-01;0.04
2024-08-01;0.043
2024-09-01;0.055
2024-10-01;0.06
2024-11-01;0.065
2024-12-01;0.064
2025-01-01;0.05
2025-02-01;0.049
2025-03-01;0.049
2025-04-01;0.043
2025-05-01;0.04
2025-06-01;0.041
2025-07-01;0.031
2025-08-01;0.029
2025-09-01;0.029
2025-10-01;0.028
2025-11-01;0.024
2025-12-01;0.025
