
Data;Cena
2020-01-01;6140.0
2020-02-01;5660.0
2020-03-01;5010.0
2020-04-01;5060.0
2020-05-01;5220.0
2020-06-01;6020.0
2020-07-01;6500.0
2020-08-01;6630.0
2020-09-01;6750.0
2020-10-01;6790.0
2020-11-01;7060.0
2020-12-01;7740.0
2021-01-01;7960.0
2021-02-01;8630.0
2021-03-01;8930.0
2021-04-01;9440.0
2021-05-01;10060.0
2021-06-01;9630.0
2021-07-01;9380.0
2021-08-01;9360.0
2021-09-01;9220.0
2021-10-01;9650.0
2021-11-01;9570.0
2021-12-01;9510.0
2022-01-01;9720.0
2022-02-01;9890.0
2022-03-01;10240.0
2022-04-01;10300.0
2022-05-01;9520.0
2022-06-01;9120.0
2022-07-01;7840.0
2022-08-01;8100.0
2022-09-01;7750.0
2022-10-01;7450.0
2022-11-01;7890.0
2022-12-01;8430.0
2023-01-01;8970.0
2023-02-01;8920.0
2023-03-01;8920.0
2023-04-01;8740.0
2023-05-01;8300.0
2023-06-01;8320.0
2023-07-01;8530.0
2023-08-01;8300.0
2023-09-01;8230.0
2023-10-01;7850.0
2023-11-01;8200.0
2023-12-01;8310.0
2024-01-01;8390.0
2024-02-01;8420.0
2024-03-01;8970.0
2024-04-01;9290.0
2024-05-01;10230.0
2024-06-01;9840.0
2024-07-01;9530.0
2024-08-01;9380.0
2024-09-01;9220.0
2024-10-01;9150.0
2024-11-01;9240.0
2024-12-01;9310.0
2025-01-01;9420.0
2025-02-01;9330.975
2025-03-01;9735.823
2025-04-01;9172.696
2025-05-01;9531.201
2025-06-01;9835.068
2025-07-01;9700.0
2025-08-01;9800.0
2025-09-01;9600.0
2025-10-01;9500.0
2025-11-01;9350.0
2025-12-01;9300.0
