
Data;Kurs
2020-01-01;3.81
2020-02-01;3.93
2020-03-01;4.12
2020-04-01;4.08
2020-05-01;4.03
2020-06-01;3.95
2020-07-01;3.89
2020-08-01;3.75
2020-09-01;3.78
2020-10-01;3.84
2020-11-01;3.8
2020-12-01;3.67
2021-01-01;3.73
2021-02-01;3.7
2021-03-01;3.85
2021-04-01;3.78
2021-05-01;3.72
2021-06-01;3.74
2021-07-01;3.86
2021-08-01;3.88
2021-09-01;3.88
2021-10-01;3.96
2021-11-01;4.03
2021-12-01;4.07
2022-01-01;4.03
2022-02-01;4.1
2022-03-01;4.31
2022-04-01;4.29
2022-05-01;4.23
2022-06-01;4.35
2022-07-01;4.67
2022-08-01;4.67
2022-09-01;4.75
2022-10-01;4.86
2022-11-01;4.52
2022-12-01;4.38
2023-01-01;4.34
2023-02-01;4.23
2023-03-01;4.39
2023-04-01;4.19
2023-05-01;4.15
2023-06-01;4.12
2023-07-01;3.98
2023-08-01;4.04
2023-09-01;4.25
2023-10-01;4.22
2023-11-01;3.99
2023-12-01;3.93
2024-01-01;3.98
2024-02-01;3.95
2024-03-01;3.95
2024-04-01;4.0
2024-05-01;3.96
2024-06-01;3.94
2024-07-01;3.92
2024-08-01;3.89
2024-09-01;3.92
2024-10-01;3.94
2024-11-01;3.96
2024-12-01;3.99
2025-01-01;4.01
2025-02-01;3.95
2025-03-01;3.88
2025-04-01;3.82
2025-05-01;3.74
2025-06-01;3.7
2025-07-01;3.66
2025-08-01;3.62
2025-09-01;3.63
2025-10-01;3.65
2025-11-01;3.65
2025-12-01;3.63
